Fighter_Name,Height_cm,Weight_lbs,Reach_cm,Age,Win_Rate,Total_Fights,SLpM,Str_Acc_f,SApM,Str_Def_f,TD_Avg,TD_Acc_f,TD_Def_f,Sub_Avg
Katsuyori Shibata,182.9,168.0,182.9,44.1,0.25,16,2.06,0.35,2.4,0.53,0.49,0.5,0.53,0.7
Jake Shields,182.9,170.0,182.9,45.0,0.7560975609756098,41,2.45,0.36,1.8,0.56,2.83,0.29,0.35,1.2
Henrique Shiguemoto,180.3,185.0,182.9,34.5,0.7222222222222222,18,3.6,0.33,6.0,0.16,0.0,0.0,0.5,0.0
Shunichi Shimizu,165.1,135.0,182.9,38.9,0.5084745762711864,58,0.14,0.33,4.68,0.3,0.0,0.0,0.0,0.0
Wade Shipp,190.5,245.0,182.9,48.9,0.6875,16,4.29,0.75,2.14,0.0,0.0,0.0,0.75,0.0
Raja Shippen,167.6,145.0,182.9,37.2,0.6,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yuya Shirai,172.7,168.0,182.9,43.7,0.6190476190476191,42,1.02,0.75,4.07,0.55,0.0,0.0,0.0,0.0
Wes Shivers,198.1,155.0,182.9,46.8,0.875,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Shlemenko,180.3,185.0,182.9,39.6,0.8615384615384616,58,4.36,0.6,1.71,0.63,0.0,0.0,0.0,0.0
Josh Shockley,185.4,155.0,182.9,34.1,0.7333333333333333,15,1.4,0.33,1.75,0.6,0.0,0.0,0.61,0.8
Josh Shockman,193.0,235.0,182.9,43.0,0.6666666666666666,9,0.87,0.32,0.87,0.58,0.0,0.0,0.23,0.0
Akira Shoji,172.7,195.0,182.9,49.9,0.3888888888888889,36,1.03,0.34,2.63,0.53,1.79,0.73,0.82,0.4
Liudvik Sholinian,177.8,135.0,180.3,33.9,0.6428571428571429,14,2.5,0.3,5.67,0.55,0.0,0.0,0.66,0.0
Jack Shore,172.7,145.0,180.3,28.9,0.85,20,3.6,0.58,2.31,0.56,3.22,0.39,0.74,0.6
Landon Showalter,182.9,185.0,182.9,47.5,0.3548387096774194,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivan Shtyrkov,182.9,205.0,188.0,35.6,0.9375,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Shuey,170.2,155.0,182.9,47.9,0.5384615384615384,13,0.68,0.33,1.36,0.0,0.0,0.0,0.0,6.9829999999999925
Ronal Siahaan,170.2,125.0,180.3,27.7,0.875,8,0.63,0.66,6.17,0.25,0.0,0.0,0.25,0.0
Sam Sicilia,172.7,145.0,170.2,37.9,0.6521739130434783,23,2.46,0.33,3.55,0.59,1.45,0.43,0.7,0.9
Kiril Sidelnikov,180.3,230.0,182.9,35.4,0.7333333333333333,15,2.87,0.28,4.48,0.61,0.0,0.0,0.0,0.0
Serhiy Sidey,180.3,135.0,182.9,27.5,0.8571428571428571,14,4.49,0.39,4.26,0.54,1.58,0.25,0.2,1.3
Steven Siler,180.3,145.0,177.8,36.9,0.6444444444444445,45,3.21,0.41,2.96,0.54,0.47,0.21,0.55,1.6
Siala Siliga,185.4,265.0,182.9,53.2,0.7058823529411765,17,1.08,0.26,1.96,0.5,1.47,0.5,0.8,0.0
Xavier Siller,165.1,125.0,182.9,29.6,0.5,10,1.02,0.36,1.53,0.57,3.83,1.0,0.0,0.0
